"datasetid","doi"
2496,"10.1016/0034-6667(68)90035-3"
2497,"10.1016/0034-6667(68)90035-3"
2498,"10.1016/0034-6667(68)90035-3"
2499,"10.1016/0034-6667(68)90035-3"
2500,"10.1016/0034-6667(68)90035-3"
2501,"10.1016/0034-6667(68)90035-3"
2502,"10.1016/0034-6667(68)90035-3"
2503,"10.1016/0034-6667(68)90035-3"
2504,"10.1016/0034-6667(68)90035-3"
2505,"10.1016/0034-6667(68)90035-3"
2506,"10.1016/0034-6667(68)90035-3"
2507,"10.1016/0034-6667(68)90035-3"
2508,"10.1016/0034-6667(68)90035-3"
2509,"10.1016/0034-6667(68)90035-3"
2510,"10.1016/0034-6667(68)90035-3"
2511,"10.1016/0034-6667(68)90035-3"
2512,"10.1016/0034-6667(68)90035-3"
2513,"10.1016/0034-6667(68)90035-3"
2514,"10.1016/0034-6667(68)90035-3"
2515,"10.1016/0034-6667(68)90035-3"
2516,"10.1016/0034-6667(68)90035-3"
2517,"10.1016/0034-6667(68)90035-3"
2518,"10.1016/0034-6667(68)90035-3"
2519,"10.1016/0034-6667(68)90035-3"
2520,"10.1016/0034-6667(68)90035-3"
2521,"10.1016/0034-6667(68)90035-3"
2522,"10.1016/0034-6667(68)90035-3"
2523,"10.1016/0034-6667(68)90035-3"
2524,"10.1016/0034-6667(68)90035-3"
2525,"10.1016/0034-6667(68)90035-3"
2526,"10.1016/0034-6667(68)90035-3"
2527,"10.1016/0034-6667(68)90035-3"
2528,"10.1016/0034-6667(68)90035-3"
2529,"10.1016/0034-6667(68)90035-3"
2530,"10.1016/0034-6667(68)90035-3"
2531,"10.1016/0034-6667(68)90035-3"
2532,"10.1016/0034-6667(68)90035-3"
2533,"10.1016/0034-6667(68)90035-3"
2534,"10.1016/0034-6667(68)90035-3"
2535,"10.1016/0034-6667(68)90035-3"
2536,"10.1016/0034-6667(68)90035-3"
2537,"10.1016/0034-6667(68)90035-3"
2538,"10.1016/0034-6667(68)90035-3"
2539,"10.1016/0034-6667(68)90035-3"
2540,"10.1016/0034-6667(68)90035-3"
2541,"10.1016/0034-6667(68)90035-3"
2542,"10.1016/0034-6667(68)90035-3"
2543,"10.1016/0034-6667(68)90035-3"
2544,"10.1016/0034-6667(68)90035-3"
2545,"10.1016/0034-6667(68)90035-3"
2546,"10.1016/0034-6667(68)90035-3"
2547,"10.1016/0034-6667(68)90035-3"
2548,"10.1016/0034-6667(68)90035-3"
2549,"10.1016/0034-6667(68)90035-3"
2550,"10.1016/0034-6667(68)90035-3"
2551,"10.1016/0034-6667(68)90035-3"
2552,"10.1016/0034-6667(68)90035-3"
2553,"10.1016/0034-6667(68)90035-3"
2554,"10.1016/0034-6667(68)90035-3"
2555,"10.1016/0034-6667(68)90035-3"
2556,"10.1016/0034-6667(68)90035-3"
2557,"10.1016/0034-6667(68)90035-3"
2558,"10.1016/0034-6667(68)90035-3"
2559,"10.1016/0034-6667(68)90035-3"
2560,"10.1016/0034-6667(68)90035-3"
2561,"10.1016/0034-6667(68)90035-3"
2562,"10.1016/0034-6667(68)90035-3"
2563,"10.1016/0034-6667(68)90035-3"
2564,"10.1016/0034-6667(68)90035-3"
2565,"10.1016/0034-6667(68)90035-3"
2566,"10.1016/0034-6667(68)90035-3"
2587,"10.1130/0016-7606(1997)109<1306:TFALQP>2.3.CO;2"
2588,"10.1130/0016-7606(1997)109<1306:TFALQP>2.3.CO;2"
2592,"10.1002/(SICI)1099-1417(199701/02)12:1<15::AID-JQS283>3.0.CO;2-T"
2592,"10.1177/095968369700700103"
2593,"10.1002/(SICI)1099-1417(199701/02)12:1<15::AID-JQS283>3.0.CO;2-T"
2593,"10.1177/095968369700700103"
2610,"10.7202/032476ar"
2615,"10.1139/b73-271"
2616,"10.1177/095968369700700103"
2617,"10.1177/095968369700700103"
2620,"10.1017/S0033822200011413"
2621,"10.2307/2484166"
2621,"10.2307/2261663"
2639,"10.7202/1000060ar"
2645,"10.1017/S0033822200037504"
2647,"10.1130/0091-7613(1987)​15<837:CRDOTP>​2.0.CO;2"
2647,"10.1016/0031-0182(89)90001-1"
2647,"10.2307/1940612"
2670,"10.7202/032567ar"
2671,"10.7202/032567ar"
2672,"10.1017/S0033822200005348"
2673,"10.1017/S0033822200005348"
2880,"10.1007/BF01092417"
2886,"10.7202/1000060ar"
2892,"10.1139/b86-262"
2928,"10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2"
2929,"10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2"
2930,"10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2"
2931,"10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2"
2932,"10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2"
2933,"10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2"
2934,"10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2"
2935,"10.1130/0016-7606(1969)80[631:APDFML]2.0.CO;2"
2936,"10.1016/0033-5894(80)90028-9"
2948,"10.1177/095968369200200105"
2956,"10.2307/2259121"
2956,"10.1017/S0033822200003404"
2963,"10.1016/S0034-6667(00)00042-7"
2964,"10.1016/S0034-6667(00)00042-7"
2965,"10.1016/S0034-6667(00)00042-7"
2966,"10.1016/S0034-6667(00)00042-7"
2967,"10.1016/S0034-6667(00)00042-7"
2968,"10.1016/S0034-6667(00)00042-7"
2969,"10.1016/S0034-6667(00)00042-7"
2970,"10.1016/S0034-6667(00)00042-7"
2971,"10.1016/S0034-6667(00)00042-7"
2972,"10.1016/S0034-6667(00)00042-7"
2973,"10.1016/S0034-6667(00)00042-7"
2974,"10.1016/S0034-6667(00)00042-7"
2975,"10.1016/S0034-6667(00)00042-7"
2976,"10.1016/S0034-6667(00)00042-7"
2977,"10.1016/S0034-6667(00)00042-7"
2978,"10.1016/S0034-6667(00)00042-7"
2979,"10.1016/S0034-6667(00)00042-7"
2980,"10.1016/S0034-6667(00)00042-7"
2981,"10.1016/S0034-6667(00)00042-7"
2982,"10.1016/S0034-6667(00)00042-7"
2983,"10.1016/S0034-6667(00)00042-7"
2984,"10.1016/S0034-6667(00)00042-7"
2985,"10.1016/S0034-6667(00)00042-7"
2986,"10.1016/S0034-6667(00)00042-7"
2987,"10.1016/S0034-6667(00)00042-7"
2988,"10.1016/S0034-6667(00)00042-7"
2989,"10.1016/S0034-6667(00)00042-7"
2990,"10.1016/S0034-6667(00)00042-7"
2991,"10.1016/S0034-6667(00)00042-7"
2992,"10.1016/S0034-6667(00)00042-7"
2993,"10.1016/S0034-6667(00)00042-7"
2994,"10.1016/S0034-6667(00)00042-7"
2995,"10.1016/S0034-6667(00)00042-7"
2996,"10.1016/S0034-6667(00)00042-7"
2997,"10.1016/S0034-6667(00)00042-7"
2998,"10.1016/S0034-6667(00)00042-7"
2999,"10.1016/S0034-6667(00)00042-7"
3000,"10.1016/S0034-6667(00)00042-7"
3002,"10.1016/S0034-6667(00)00042-7"
3003,"10.1016/S0034-6667(00)00042-7"
3004,"10.1016/S0034-6667(00)00042-7"
3005,"10.1016/S0034-6667(00)00042-7"
3006,"10.1016/S0034-6667(00)00042-7"
3007,"10.1016/S0034-6667(00)00042-7"
3008,"10.1016/S0034-6667(00)00042-7"
3009,"10.1016/S0034-6667(00)00042-7"
3010,"10.1016/S0034-6667(00)00042-7"
3011,"10.1016/S0034-6667(00)00042-7"
3012,"10.1016/S0034-6667(00)00042-7"
3013,"10.1016/S0034-6667(00)00042-7"
3014,"10.1016/S0034-6667(00)00042-7"
3015,"10.1016/S0034-6667(00)00042-7"
3016,"10.1016/S0034-6667(00)00042-7"
3017,"10.1016/S0034-6667(00)00042-7"
3018,"10.1016/S0034-6667(00)00042-7"
3019,"10.1016/S0034-6667(00)00042-7"
3020,"10.1016/S0034-6667(00)00042-7"
3021,"10.1016/S0034-6667(00)00042-7"
3022,"10.1016/S0034-6667(00)00042-7"
3023,"10.1016/S0034-6667(00)00042-7"
3024,"10.1016/S0034-6667(00)00042-7"
3025,"10.1016/S0034-6667(00)00042-7"
3026,"10.1016/S0034-6667(00)00042-7"
3027,"10.1016/S0034-6667(00)00042-7"
3030,"10.1111/j.1469-8137.1983.tb03434.x"
3031,"10.1111/j.1469-8137.1983.tb03434.x"
3035,"10.1017/S0033822200037504"
3047,"10.1016/0033-5894(75)90013-7"
3058,"10.1139/e75-024"
3058,"10.1016/0277-3791(95)00063-1"
3058,"10.2307/2937135"
3058,"10.1006/qres.1993.1042"
3058,"10.1038/361623a0"
3059,"10.1016/0033-5894(78)90013-3"
3119,"10.2307/1942212"
3120,"10.2307/1942212"
3123,"10.1139/e91-055"
3124,"10.1139/e91-055"
3125,"10.1139/b69-192"
3125,"10.1139/b76-194"
3131,"10.1016/0033-5894(78)90013-3"
3131,"10.1016/0033-5894(88)90034-8"
3131,"10.1007/BF00114719"
3136,"10.1139/e91-055"
3137,"10.1139/e91-055"
3138,"10.1017/S0033822200011413"
3141,"10.1130/0016-7606(1978)89<1719:NEOTHO>2.0.CO;2"
3150,"10.1080/00040851.1981.12004259"
3151,"10.1080/00040851.1981.12004259"
3152,"10.1080/00040851.1981.12004259"
3153,"10.1080/00040851.1981.12004259"
3154,"10.1080/00040851.1981.12004259"
3155,"10.1080/00040851.1981.12004259"
3156,"10.1080/00040851.1981.12004259"
3157,"10.1080/00040851.1981.12004259"
3158,"10.1080/00040851.1981.12004259"
3159,"10.1080/00040851.1981.12004259"
3160,"10.1080/00040851.1981.12004259"
3161,"10.1080/00040851.1981.12004259"
3162,"10.1080/00040851.1981.12004259"
3163,"10.1080/00040851.1981.12004259"
3164,"10.1080/00040851.1981.12004259"
3165,"10.1080/00040851.1981.12004259"
3166,"10.1080/00040851.1981.12004259"
3167,"10.1080/00040851.1981.12004259"
3168,"10.1080/00040851.1981.12004259"
3169,"10.1080/00040851.1981.12004259"
3170,"10.1080/00040851.1981.12004259"
3171,"10.1080/00040851.1981.12004259"
3172,"10.1080/00040851.1981.12004259"
3173,"10.1080/00040851.1981.12004259"
3174,"10.1080/00040851.1981.12004259"
3175,"10.1080/00040851.1981.12004259"
3176,"10.1080/00040851.1981.12004259"
3177,"10.1080/00040851.1981.12004259"
3178,"10.1080/00040851.1981.12004259"
3179,"10.1080/00040851.1981.12004259"
3180,"10.1080/00040851.1981.12004259"
3181,"10.1080/00040851.1981.12004259"
3182,"10.1080/00040851.1981.12004259"
3183,"10.1080/00040851.1981.12004259"
3184,"10.1080/00040851.1981.12004259"
3185,"10.1080/00040851.1981.12004259"
3186,"10.1080/00040851.1981.12004259"
3187,"10.1080/00040851.1981.12004259"
3188,"10.1080/00040851.1981.12004259"
3189,"10.1080/00040851.1981.12004259"
3190,"10.1080/00040851.1981.12004259"
3191,"10.1080/00040851.1981.12004259"
3192,"10.1080/00040851.1981.12004259"
3193,"10.1080/00040851.1981.12004259"
3194,"10.1080/00040851.1981.12004259"
3195,"10.1080/00040851.1981.12004259"
3196,"10.1080/00040851.1981.12004259"
3197,"10.1080/00040851.1981.12004259"
3198,"10.1080/00040851.1981.12004259"
3199,"10.1080/00040851.1981.12004259"
3200,"10.1080/00040851.1981.12004259"
3201,"10.1080/00040851.1981.12004259"
3202,"10.1080/00040851.1981.12004259"
3203,"10.1080/00040851.1981.12004259"
3204,"10.1080/00040851.1981.12004259"
3205,"10.1080/00040851.1981.12004259"
3206,"10.1080/00040851.1981.12004259"
3207,"10.1080/00040851.1981.12004259"
3208,"10.1080/00040851.1981.12004259"
